"model","importance","wis","dispersion","overpred","underpred","0.01","0.025","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","0.7","0.75","0.8","0.85","0.9","0.95","0.975","0.99","target_end_date","location","target"
"Karlen-pypm",-9.38,183.714304347826,40.323,143.391304347826,0,425.9,482.9,519,572.9,603,627,651,676.7,704,731,755,775,807.5,831,855,880.3,907,939,983,1037.1,1129,1186,1252.1,"2021-01-09","MA","4wk ahead inc death"
"SteveMcConnell-CovidComplete",2.36,87.5047826086956,83.1134782608695,0,4.39130434782609,379.5,380,380.1,380.2,380.3,380.4,380.5,380.6,380.7,380.8,380.9,381,492.3,603.5,714.8,826.1,937.3,1048.6,1159.8,1271.1,1382.4,1438,1438.5,"2021-01-09","MA","4wk ahead inc death"
"UCSD_NEU-DeepGLEAM",-0.07,79.739377352905,14.0708596549927,65.6685176979124,0,450.105581914657,486.756904197721,505.499057637924,527.097158269015,541.733887622316,553.276674185489,563.272489353597,572.197324325122,580.467671398736,588.321526173678,595.877886449569,603.37474782565,612.489700131035,621.676993327733,631.225990980994,641.281374873442,652.132508570329,664.285778310842,678.319911225483,696.115770488378,722.375514034844,745.162894798307,789.724883846856,"2021-01-09","MA","4wk ahead inc death"
"BPagano-RtDriven",2.29,36.7899335,19.0480743695652,17.7418591304348,0,346.25256,376.95362,404.39875,436.5361,458.3602,475.74823,490.68471,504.10828,516.55311,528.36558,539.79632,551.04676,562.2972,573.72794,585.5404,597.98524,611.4088,626.34529,643.73332,665.55742,697.69476,725.13989,755.84096,"2021-01-09","MA","4wk ahead inc death"
"Ensemble.all",NA,54.3456382103259,36.9356425908411,17.4099956194848,0,339.614100588552,368.138760396922,385.356123618576,419.81806648456,442.891549661419,463.774422693241,480.961974932964,496.829820195315,514.036481026224,530.556786589569,546.537889155986,562.507945313961,590.263060066144,617.321751387727,646.151031202957,676.726055116741,711.072572327674,761.116947151733,818.505244371816,877.010740887277,945.38512620665,1004.52962191337,1059.60573789178,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.CovidAnalytics-DELPHI",NA,63.8877874596637,39.6521355523738,24.2356519072899,0,349.315750678624,378.138027505322,394.696930549361,430.226139218193,453.997473307082,475.753076127355,493.59834114432,510.110944326535,528.227911635045,545.636117411298,562.475963177532,579.321438478206,609.425104697364,638.72723781316,669.983039622784,703.139415399528,740.440524523898,795.249714948241,858.073919980308,921.706269075123,995.386975504018,1059.11390259376,1117.80656761175,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.UMass-MechBayes",NA,46.6903405344065,31.6621631320875,15.028177402319,0,354.565863162121,381.156105446537,397.025639070898,429.29532479513,449.252993369097,467.371225529896,482.207221799584,495.308547719729,510.541041154502,524.501384913265,537.480125300484,547.571438478206,573.045942574412,597.236970311193,623.294910103326,649.941812006334,677.581643868634,722.631565545699,777.943399918293,828.637083498187,881.183266982481,927.845824652543,969.931455128249,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.USC-SI_kJalpha",NA,42.9545505975324,37.4048105293666,5.54974006816578,0,309.421130222829,334.770643465929,352.218434476278,383.646632643461,408.800955489049,429.52004061351,447.523012831786,464.561243188227,480.101478414312,495.316176961389,510.032614583415,526.946438478206,557.3150476394,587.379039550903,618.118572024694,651.119301289264,688.696027400972,728.655664998122,770.038877006102,821.393583082809,896.622513607197,953.63239881611,1010.13826539883,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.RobertWalraven-ESG",NA,63.3663280344065,40.9858136755658,22.3805143588407,0,333.114613162121,364.229855446537,382.760639070898,420.56282479513,445.866743369097,468.841225529897,487.732221799584,505.183547719729,524.171041154503,542.405134913265,560.045125300484,577.677688478206,608.568442574412,638.669470311193,670.751160103326,704.778062006334,743.017893868634,798.872815545699,862.915899918293,928.080833498187,1004.03451698248,1069.73332465254,1130.71895512825,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.COVIDhub-baseline",NA,68.94062885202,36.0748953050696,32.8657335469504,0,382.065863162121,414.156105446537,433.525639070898,465.042035012232,483.018068894852,500.052447342115,513.950239542262,527.270608465337,542.83778993449,558.207613725553,573.333448646218,588.571438478206,617.152595328439,644.673279924289,673.8527574318,704.496984183055,738.570649383689,789.395384683891,847.408156753361,905.464713649488,968.439579108102,1021.84569599501,1069.15130772678,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.Karlen-pypm",NA,44.9683768805532,36.5122229146962,8.45615396585693,0,328.828363162121,353.793605446537,368.650639070898,400.68282479513,422.877993369097,443.371225529896,459.707221799584,474.346047719729,490.291041154502,505.501384913265,520.480125300484,535.946438478206,563.108442574412,590.611970311193,620.044910103326,651.279312006334,686.581643868634,738.881565545699,797.943399918293,856.999583498187,922.433266982481,981.845824652543,1035.54395512825,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.SteveMcConnell-CovidComplete",NA,56.7024600996239,31.1634131320875,25.5390469675364,0,334.628363162121,366.656105446537,386.013139070898,424.77032479513,450.715493369097,474.196225529896,493.519721799584,511.358547719729,530.703541154503,549.276384913265,567.242625300484,585.196438478206,602.508442574412,619.049470311193,637.569910103326,658.054312006334,682.794143868634,725.181565545699,775.843399918293,827.749583498187,890.758266982481,950.345824652543,1012.24395512825,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.UCSD_NEU-DeepGLEAM",NA,54.2761618095259,39.7937404578222,14.4824213517037,0,325.802665422788,353.311492421822,370.338256866158,406.408180011503,430.536257416307,452.58664125671,470.673160630385,487.408882179089,505.73258222966,523.336194141555,540.370389494288,557.399595,587.484730058032,616.777346145226,648.016661230702,681.156640147154,718.440080297343,773.220843256844,836.028411015108,899.622612187139,973.261327728125,1036.95046280275,1093.34084464739,"2021-01-09","MA","4wk ahead inc death"
"Ens.wo.BPagano-RtDriven",NA,56.6345003208557,39.1715886185006,17.4629117023551,0,338.78429316212,367.036902946537,382.975795320898,417.72831229513,440.957968369097,462.277696779896,479.746633049584,495.920012719729,513.721902404503,530.830687413265,547.380585300484,563.940593478206,593.758792574412,622.770977811193,653.727360103326,686.568657006334,723.530543868634,777.963404295699,840.351734918293,903.442405998187,976.346421982481,1039.45333840254,1097.57633512825,"2021-01-09","MA","4wk ahead inc death"
